Chako Abeno
Mitsuru Adachi
Satoru Akahori
Ken Akamatsu
Tamayo Akiyama
Gosho Aoyama
Hiromu Arakawa
Kia Asamiya
Inio Asano
Hideo Azuma
Kiyohiko Azuma
Nanae Chrono
Tatsuya Egawa
Eiki Eiki
Shunji Enomoto
Fujiko Fujio
Tooru Fujisawa
Kōsuke Fujishima
Nobuyuki Fukumoto
Moto Hagio
Mitsuru Hattori
Hentai creators
Yukari Higa
You Higuri
Kazumasa Hirai
Oji Hiroi
Hiroyuki Sawano
Tsukasa Hojo
Fujihiko Hosono
Riyoko Ikeda
Ryoichi Ikegami
Takehiko Inoue
Hisaichi Ishii
Ken Ishikawa
Shotaro Ishinomori
Nisio Isin
Natsumi Itsuki
Ikki Kajiwara
Masakazu Katsura
Kaiji Kawaguchi
Shin Kibayashi
Hidefumi Kimura
Yun Kōga
Kazuo Koike
Yū Koyama
Kōji Kumeta
Hideyuki Kurata
Masami Kurumada
Jiro Kuwata
Suehiro Maruo
Masamune Shirow
Hiro Mashima
Leiji Matsumoto
Taiyō Matsumoto
Mitsukazu Mihara
Ryōji Minagawa
Hakase Mizuki
Shigeru Mizuki
Setona Mizushiro
Ai Morinaga
Go Nagai
Bunjūrō Nakayama
Tsutomu Nihei
Takeshi Obata
Oh! great
Yoshiyuki Okamura
Shūzō Oshimi
Katsuhiro Otomo
Peach-Pit
Ryukishi
Chiho Saito
Takao Saito
Ichirō Sakaki
Kei Sanbe
Kazuhiko Shimamoto
Mayu Shinjo
Chie Shinohara
Kaoru Shintani
Yukiru Sugisaki
Rumiko Takahashi
Natsuki Takaya
Hiroyuki Takei
Keiko Takemiya
Jiro Taniguchi
Yoshihiro Tatsumi
Osamu Tezuka
Yoshihiro Togashi
Kōichi Tokita
Akira Toriyama
Ema Tōyama
Mikiyo Tsuda
Naoki Urasawa
Yuu Watase
Nobuhiro Watsuki
Ai Yazawa
Mitsuteru Yokoyama
Akimi Yoshida
Fumi Yoshinaga
Kaori Yuki
Masami Yuki
