Fratelli Alinari
Olivo Barbieri
Antonio Beato
Felice Beato
Gianni Berengo Gardin
Giacomo Brogi
Giacomo Brunelli
Letizia Battaglia
Romano Cagnoni
Ilario Carposio
Stefano Cerio
Elio Ciol
Nicolò Degiorgis
Yvonne De Rosa
Antonio Faccilongo
Adolfo Farsari
Franco Fontana
Piero Gemelli
Luigi Ghirri
Mario Giacomelli
Gianfranco Gorgoni
Mimmo Jodice
Duccio Malagamba
Fosco Maraini
Enrico Martino
Tina Modotti
Ugo Mulas
Pino Musi
Dianora Niccolini
Giuseppe Palmas
Dino Pedriali
Paolo Pellizzari
Secondo Pia
Fabio Ponzio
Felice Quinto
Vittorio Sella
Frederick Sommer
Alberto Terrile
Oliviero Toscani
Luigi Veronesi
Massimo Vitali
Vincenzo Laera
