Aizō Morikawa
Akihide Tamura
Akira Komoto
Akira Satō
Akira Toriyama
Akito Tsuda
Ariko Inaoka
Asahachi Kōno
Atsushi Fujiwara
Aya Kida
Bishin Jumonji
Bukō Shimizu
Chizu Ono
Cozue Takagi
Daidō Moriyama
Eiko Yamazawa
Ei-Q
Emi Anrakuji
Fusako Kodama
Fuyuki Hattori
Genzō Kitazumi
Genzō Maeda
Gyokusen Ukai
Hakuyō Fuchikami
Hikoma Ueno
Hiroh Kikai
Hiromix
Hiroshi Sugimoto
Hiroshi Watanabe
Hiroshi Yamazaki
Hisae Imai
Hisaji Hara
Hitomi Watanabe
Horie Kuwajirō
Ihei Kimura
Ikkō Narahara
Issei Suda
Kaietsu Takagi
Kanbei Hanaya
Kansuke Yamamoto
Kaoru Usui
Katsuji Fukuda
Katsu Naito
Kazumasa Ogawa
Kei Ito
Kei Orihara
Ken Domon
Kensuke Kazama
Kenzō Tamoto
Kineo Kuwabara
Kishin Shinoyama
Kiyoshi Koishi
Kiyoshi Nishiyama
Kohei Yoshiyuki
Kōji Satō
Kōshirō Onchi
Kosuke Okahara
Kōtarō Tanaka
Kozaburō Tamamura
Kuichi Uchida
Kunié Sugiura
Kusakabe Kimbei
Manji Terashima
Mari Katayama
Masanori Ashida
Masao Gozu
Masao Horino
Masataka Takayama
Masato Seto
Matsusaburō Yokoyama
Meison Kobayashi
Michiko Kon
Michiko Matsumoto
Mieko Shiomi
Mika Ninagawa
Mikiko Hara
Minayoshi Takada
Minoru Minami
Mitsuaki Iwagō
Mitsugu Ōnishi
Mitsutarō Fuku
Miwa Yanagi
Miyako Ishiuchi
Miyuki Matsuda
Motoichi Kumagai
Nakaji Yasui
Naonori Kohira
Narutoshi Furukawa
Noboru Ueki
Nobuyoshi Araki
Noriyoshi Shibata
Ōno Benkichi
Ōri Umesaka
Osamu Hayasaki
Rihei Tomishige
Rika Noguchi
Rinko Kawauchi
Rosō Fukuhara
Ruiko Yoshida
Ryoko Suzuki
Ryūa Kojima
Ryuichi Ishikawa
Sakae Tamura
Seiji Kurata
Seiki Kayamori
Seiryū Inoue
Seiyo Ogawa
Shigeichi Nagano
Shigeru Tamura
Shiho Fukada
Shima Ryū
Shinichiro Kobayashi
Shinzō Fukuhara
Shinzo Maeda
Shisei Kuwabara
Shizuka Yokomizo
Shōji Ueda
Shōmei Tōmatsu
Shunkichi Kikuchi
Susumu Matsushima
Tadahiko Hayashi
Tadashi Takamura
Tadasuke Akiyama
Taiji Arita
Taikichi Irie
Takanobu Hayashi
Takashi Amano
Takashi Kijima
Takashi Okamura
Takeji Iwamiya
Taku Aramasa
Teisuke Chiba
T. Enami
Terushichi Hirai
Tetsuya Ichimura
Tohru Nogami
Tokihiro Satō
Tōkoku Shimizu
Tokujirō Kameya
Tokuko Ushioda
Tomio Kondō
Tomizo Yoshikawa
Tomoko Miyamoto
Tomoko Sawada
Toyoko Tokiwa
Tōyō Miyatake
Tsuneko Sasamoto
Yasuko Kotani
Yasushi Nagao
Yasuyoshi Chiba
Yōnosuke Natori
Yoshihiko Itō
Yoshino Ōishi
Yoshiyasu Suzuka
Yūhi Miyazaki
Yuki Onodera
Yurie Nagashima
Yutaka Takanashi
