Alison Lester
Ann James
Axel Poignant
Bob Graham
Deborah Niland
Desmond Digby
Elizabeth Honey
Felice Arena
Freya Blackwood
Gabrielle Wang
Gregory Rogers
Harold Gaze
Ida Rentoul Outhwaite
Inga Moore
Jane Tanner
Jan Ormerod
Jeannie Baker
Jenny Hale
Jeremy Geddes
Judy Horacek
Kaye Kessing
Kerry Argent
Kilmeny Niland
Kim Gamble
Leslie Gordon Chandler
Margaret Horder
Margaret Senior
Narelle Oliver
Pamela Lofts
Patricia Mullins
Peter Gouldthorpe
Pixie O'Harris
Robert Ingpen
Shaun Tan
Shirley Barber
Sophie Blackall
Tohby Riddle
