Undercity Scavenger
Reckless Brute
Rose Room Treasurer
Bellowing Mauler
Indentured Oaf
Defiant Ogre
Wrecking Ogre
Bolrac-Clan Crusher
Mardu Blazebringer
Kazuul's Toll Collector
Villainous Ogre
Onakke Ogre
Pugnacious Pugilist
Shakedown Heavy
Skull Collector
Girder Goons
Shinka Gatekeeper
Savage Knuckleblade
Blood Ogre
Slaughterhouse Bouncer
Atarka Pummeler
Qal Sisma Behemoth
Gruul Spellbreaker
Sokenzan Bruiser
Ogre Warrior
Jagged Poppet
Brawl-Bash Ogre
Hellhole Flailer
Barrage Ogre
Poisonbelly Ogre
Deathcurse Ogre
Turret Ogre
Ogre Battledriver
Ogre Geargrabber
Ogre Marauder
Ogre Recluse
Ogre Sentry
Rakdos Roustabout
Raving Oni-Slave
Frost Ogre
