Abram Arkhipov
Afanasy Razmaritsyn
Aleksey Afanas'ev
Alexander Beggrov
Alexander Litovchenko
Alexei Savrasov
Alexei Stepanov
Alexey Bogolyubov
Andrei Ryabushkin
Antonina Rzhevskaya
Apollinary Vasnetsov
Arkhip Kuindzhi
Dmitry Shcherbinovsky
Emily Shanks
Fyodor Bronnikov
Grigoriy Myasoyedov
Illarion Pryanishnikov
Ilya Ostroukhov
Ilya Repin
Isaac Levitan
Ivan Bogdanov
Ivan Gorokhov
Ivan Kramskoi
Ivan Pokhitonov
Ivan Shishkin
Khariton Platonov
Klavdy Lebedev
Konstantin Makovsky
Konstantin Pervukhin
Konstantin Savitsky
Konstantīns Visotskis
Leonid Pasternak
Lukian Popov
Mikhail Nesterov
Mykola Pymonenko
Nikolai Bodarevsky
Nikolai Dmitriyevich Kuznetsov
Nikolai Ge
Nikolai Orlov
Nikolai Shulpinov
Nikolai Yaroshenko
Nikolai Zagorsky
Nikolay Bogdanov-Belsky
Nikolay Dubovskoy
Nikolay Kasatkin
Nikolay Makovsky
Pavel Brullov
Rafail Levitsky
Sergei Korovin
Sergei Vinogradov
Sergey Ivanov
Valentin Serov
Valery Jacobi
Vasily Pereplyotchikov
Vasily Perov
Vasily Polenov
Vasily Surikov
Vasily Volkov
Vassily Maximov
Viktor Vasnetsov
Viktor Zarubin
Vitaly Tikhov
Vladimir Makovsky
